review,sentiment
Her zaman komşu fırından sipariş verdiğim için eksik gönderildiğini tespit ettim. Tamamlamak için bilgi verilmeden gönderilen 2 adet vişneli kurabiye özür olamaz nerede eski komşu fırın hizmet anlayışı.,0
 sosisli ürün isteyen adama peynirli bişey yollanır mı! Kafalarına göre değiştirip yollamışlar. Elinde yoksa arar söylersin çok saçma..,0
Iyi pişsin diye söylememe rağmen az pişmiş geldi. Birdaha sipariş vermem.,0
 kokmuş hamburger getirdiniz be ayıp ulan resmen köftesi kokmuştu ayıptır.,0
"Allah affetsin çok kötüydü hiç bir şey mi iyi olmaz be kardeşim. Yemek soğuk 1 saatten erken gelmez, porsiyonlar minicik.",0
Tavsiye ederim.,1
Dürüm bozukdu ve çok kötü kokuyordu.,0
"Servis 1, 5 saatte anca geldi menü olarwk aldığımız içerikten ayranlar gelmed fazla ücret almış oldular. Şikayetçiyim.",0
Ben ömrümde böle çorba içmedim rezalet.,0
Puaninizin neden düşük olduğunu bilmiyorum fakat lezzetiniz mükemmel amca :).,1
Hem gec geliyor hemde eksik sıparıs geliyor.,0
Yaprak kanat deyip but gönderdikleri için ayrıca gayet soğuk olduğu için tavsiye etmiyorum.,0
"Çorba soğuk içmek için kaşık yok, tuz yok tavuk şiş cok kuru tatsız hic begenmedim.",0
"Tek kelime ile rezaletti. Hamburgerin ilkokul kantininde satılandan hiçbir farkı yoktu, hamburger ekmeği bakkalda satılan ucuz ekmektendi. Aynı şekilde hamburger köftesindede ağır bir koku vardı. İnanın hayatımda yediğim en kötü hamburgerdi.",0
Hayatımda yediğim en olmamış kumru.,0
Hiç tavsiye etmiyorum üzgünüm.,0
Patates kızartmasini yollamadiniz menü almıştim.,0
Tek kelime ile çöp 1saat15 dk da geldi abartısız diyorum buzdolabından çıkmış gibiydi siz bu işi bırakın sayenizde aç da kaldık berbat hizmet için işletmenize teşekkür ederim.,0
Tavuğun tadı sosis gibiydi yani ne bileyim ne eti yediğimden şüphe ettim cidden.,0
Hayatımda yediğim en kötü dönerlerden birtanesiydi bu saatden onunden bile geçmem onun yerine karton yesem daha iyiydi hız konusunda mardinden soylesem daha hızlı gelirdi.,0
Ben param olmadığı için mecburiyetten burdan söyledim ama kendine saygısı olan bir insan burdan bir şey yemez.,0
Siparişim çok hızlı geldi ve çok lezzetliydi teslim eden murat adlı kuryeniz çok kibardı tessekur ederim.,1
Az koyuyosunuz hemde yakina cok gec getiriyosunuz.,0
Eksik ürün.,0
Patso şahanede dönerin porsiyonu az geldi tamam belki eti gramladır ama pilavla desteklenebilir pilavda azdı ama lezzetli begendim.,1
Beğenmedim.,0
Katmeri mükemmel.,1
Hiç güzel degii.,0
Bulgur pilavı çok lapa ve tadı kötüydü. Lavas bayatti çorba cok pütür pütürdu tavuk idare ederdi. Maalesef vasat biraz daha özenli olmalı.,0
Normal.,0
Yemekte tad yoktu. Yemekten birşey anlamadik tabakta hepsi birbirine girmiş braz daha düzenli olabilirdi.,0
O lavaşın eşsiz lastiğimsi kıvamını bir daha bulabilir miyim.. Sanmam.,0
Normal.,0
Çok kötü bir firma 330 ml kola olması gerekirken 250 ml gönderdiler rezillik diz boyu.,0
Bukadar kötüsüne raslamadım.,0
Kayış gibiydi lezzetsizdi poşetten kürdan bile çıkmadı.,0
Biraz daha hızlı olursa güzel olur yemek güzel allah var.,1
Gelmesi bir saati geçiyor yoğunluk var deniyor yoğunluk varsa şipariş kabul etmeyeceksin. Lezzet neden bir dersen buz gibi kanat ve yarısı pişmiş yarısı pişmemişdi. Servis amatörce umarım kendinizi geliştirirsiniz.,0
Yorumlara baktım da abartı gerçekten hızlı ve sıcak geldi gayet lezzetliydi de ve ayrıca geçenlerde kar yagdigindada sipariş verdik iptal etmediniz o uzun yola dahi getirdiniz tekrar teşekkürler.,1
Hic guzel değil o paraya değmez yemin ederim. Soyledim bir daha söylemem asla.,0
Çok geç geliyor bu ara.,0
Tavuk pirzola söyledim 2 parça koymuşlar hiç koymasaydınız daha iyiydi.,0
Çok geç geldi.,0
Sossuz ıslak hamburger mi olur rezaletti. Ayrıca patso da çok kötüydü ekmeği ayrılmış çok kötü bı ketçap. Patsoyu koyamadim.,0
